港澳台频道,#genre#
华丽翡翠,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbjade
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
中视公共,rtmp://f13h.mine.nu/sat/tv091
台视,rtmp://f13h.mine.nu/sat/tv071
民视,rtmp://f13h.mine.nu/sat/tv051
华视,rtmp://f13h.mine.nu/sat/tv111
三立新闻,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8543/.m3u8
东森超视,rtmp://f13h.mine.nu/sat/tv331
MOMOTV,rtmp://f13h.mine.nu/sat/tv761
ASTROAOD,http://cdn9.1689.us.kg/smt1.1.php?id=Aodhd
纬来日本,rtmp://f13h.mine.nu/sat/tv771
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
大爱1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
星光综合,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
大立电视台,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
TVBS新闻台,http://61.221.215.25:8800/hls/9/index.m3u8
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
台湾番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
翡翠台,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv#http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
东森超视,rtmp://f13h.mine.nu/sat/tv331
台湾新闻频道,http://61.221.215.25:8800/hls/9/index.m3u8
台湾戏剧频道,http://61.221.215.25:8800/hls/41/index.m3u8
大立卫视,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
耀才财经台,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
NogoumFMTV,https://nogoumtv.nrpstream.com/hls/stream.m3u8
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
半岛新闻,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
韩国新闻,http://amdlive.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
日本全天新闻,https://n24-cdn-live.ntv.co.jp/ch01/index_high.m3u8
AlJazeera,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
香港卫视频道,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
星空卫视频道,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
中天新闻频道,http://litv.zapi.us.kg/?id=4gtv-4gtv009
无线新闻频道,http://zsntlqj.xicp.net:8896/bysid/83.m3u8
千禧经典频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
重温经典频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
Astr剧集频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
RTHK-33频道,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK-34频道,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK-35频道,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
香港面包频道,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
香港_C+_频道,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
澳门莲花频道,http://php.jdshipin.com:8880/amlh.php
澳视澳门频道,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
澳视葡语频道,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯频道,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门mac频道,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
重温经典频道,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
环球电视频道,http://zb.xzxwhcb.com:9999/hls/world.m3u8
Astv亚洲卫视,https://play-hsbj.vzan.com/slowlive/821481626725612417/live.m3u8
NHK新闻频英,http://61.221.215.25:8800/hls/51/index.m3u8
tvbs闽南频特,http://61.221.215.25:8800/hls/9/index.m3u8
三立戏剧频特,http://61.221.215.25:8800/hls/41/index.m3u8
八大戏剧频特,http://61.221.215.25:8800/hls/39/index.m3u8
八大第一频特,http://61.221.215.25:8800/hls/55/index.m3u8
八大综合频特,http://61.221.215.25:8800/hls/56/index.m3u8
中天娱乐频特,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩频特,http://61.221.215.25:8800/hls/48/index.m3u8
动物星球频国,http://61.221.215.25:8800/hls/57/index.m3u8
amc电影频英,http://61.221.215.25:8800/hls/43/index.m3u8
ASC搜索频英,http://61.221.215.25:8800/hls/50/index.m3u8
Diso综合频英,http://61.221.215.25:8800/hls/1/index.m3u8
民视闽南频道,http://37.27.111.214:8080/live/6/hls.m3u8
中视闽南频道,http://37.27.111.214:8080/live/7/hls.m3u8
华视闽南频道,http://37.27.111.214:8080/live/8/hls.m3u8
龙华电影频道,http://37.27.111.214:8080/live/19/hls.m3u8
猪哥亮歌厅国,http://37.27.111.214:8080/live/35/hls.m3u8
亚洲旅游频道,http://37.27.111.214:8080/live/10/hls.m3u8
博斯高球频壹,http://37.27.111.214:8080/live/13/hls.m3u8
博斯运动频壹,http://37.27.111.214:8080/live/14/hls.m3u8
博斯无限频道,http://37.27.111.214:8080/live/15/hls.m3u8
HISTORY频道,http://37.27.111.214:8080/live/27/hls.m3u8
HITs电影频道,http://37.27.111.214:8080/live/28/hls.m3u8
CINEMA-频道,http://37.27.111.214:8080/live/30/hls.m3u8

📺央视频道,#genre#
CCTV1综合,http://39.134.64.179:6610/PLTV/88888888/224/3221226514/index.m3u8?
CCTV1综合,https://api.livednow.org/migu/608807420?sign=gAAAAABnJcJqONXJva4TySqKVwkHLHby6Ne_WRDndhTk_GS6KA-nBZI-nPc8RaYfnLJYnZOi1_gpZX90FSquN6BF0XzcOnsBN41Kfi9k-GihR8VqmFvGDaU3-w7RPpKH_jQp1rc5eqRkG97TL1ZanN0d0KISy_vT_x2wMEchVQyRwJVbcr-5Q8MDl1WIvSdo9b0tlPwCujaaYIRxzFT-4iEr-NoUcuO0hw%3D%3D
CCTV1综合,http://39.134.134.49/000000000001/PLTV/88888888/224/3221285275/index.m3u8?HlsProfileId=
CCTV2财经,http://39.134.64.179:6610/PLTV/88888888/224/3221226540/index.m3u8?
CCTV2财经,https://api.livednow.org/migu/631780532?sign=gAAAAABnJcJqr0fwyjCRZenumPiYq29AgCGZbexK2XyM9exSQfwePDL4rwLxMaYmUy5BI5tmZ3p5Opg3XGESQyj1Myyx8xlfa--CzghtRa5MzC5lgOOROQFokKNIjS1xgPhehkOToP6coFx9T1FJaYtv8R7vSMPYGiBtsqx-CdWfMNReSPjRaDJSSrjZ0WKCW5GajQiFiD1fOBTLjS-S7V-uzyIxCqKWiQ%3D%3D
CCTV2财经,http://221.199.193.140:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2财经,http://39.134.135.80/000000000001/PLTV/88888888/224/3221285221/index.m3u8?HlsProfileId=
CCTV2财经,http://39.134.134.47/000000000001/PLTV/88888888/224/3221235743/index.m3u8?HlsProfileId=
CCTV3综艺,http://39.134.64.179:6610/PLTV/88888888/224/3221226021/index.m3u8?
CCTV3综艺,https://api.livednow.org/migu/624878271?sign=gAAAAABnJcJqBzuFtK_e-R8Y5zzuNWtH9dD5ErIUOw3PaGq-2cUt_ty4tVxaFlKDox0cB51jc5h1UbnYdWwVB34WOYuNc8lg2HAeZSq8eQxhLSx7-W74CNR6KtgxXvTUzW_5zsQ33PZEpqm7sIuxliL32bQtzxcIIdpid2Gub7vsNYzKJWuVjAicsjoVCenU41Q5dMi8XPDUfnmgkYYiwWzmBdMXqP4I5A%3D%3D
CCTV4中文国际,http://39.134.64.179:6610/PLTV/88888888/224/3221226428/index.m3u8?
CCTV4中文国际,http://39.134.134.49/000000000001/PLTV/88888888/224/3221284632/index.m3u8?HlsProfileId=
CCTV4中文国际,https://api.livednow.org/migu/631780421?sign=gAAAAABnJcJqz7oNO-xridbK_3LKb0rcdjVs_WY_BR-BFoq8eOg8Qvn3RMaRgOohlrGPc3mJhNalk-OevwcUL7y3ObKzAeZuWtWBxqyoXyW34cmtmAnNx9EC9rXDbjauxADNT6Li789Xmb3ezb7EUlD91o2aUf1qh-cxlGyyOjS9aZEyU-1CBA-uJhURtKm5m9k2wQBuSTDlSq_X2EYHz1jXzPXsKoJ7eA%3D%3D
CCTV4中文国际,cctv4,http://39.134.134.49/000000000001/PLTV/88888888/224/3221236202/index.m3u8?HlsProfileId=
CCTV4中文国际,http://39.134.134.83/000000000001/PLTV/88888888/224/3221280379/index.m3u8?HlsProfileId=
CCTV4中文国际,http://39.134.135.84/000000000001/PLTV/88888888/224/3221280379/index.m3u8?HlsProfileId=
CCTV5体育,http://39.134.64.179:6610/PLTV/88888888/224/3221226019/index.m3u8?
CCTV5体育,http://39.134.134.87/000000000001/PLTV/88888888/224/3221279758/index.m3u8?HlsProfileId=
CCTV5体育,https://api.livednow.org/migu/641886683?sign=gAAAAABnJcJq1zvWEm2fLwSljJPThpBYL_E8K7V3Vjqwa1MKKvqUi_E3bRWybwa_x3oX2iF9HH-wEJfMaE_5OvwPzGGu3NicPIuQA4yciDbKNZf7joK5ZUFzK0L36mvXUWWl9JorCKCXbQ62LAhIlbf2kzScSCcb9oUHPKWds9wWjWjam34gaFfwW7rHxvnvlcqRaj88yHfSrWqHJghFI-bLaFvNz1HoPw%3D%3D
CCTV5体育,http://122.245.153.222:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5体育,http://220.201.200.147:9000/udp/236.78.78.78:59795
CCTV5体育,http://39.134.135.82/000000000001/PLTV/88888888/224/3221279756/index.m3u8?HlsProfileId=
CCTV5+体育赛事,http://39.134.64.179:6610/PLTV/88888888/224/3221225603/index.m3u8?IASHttpSessionId=OTT3103620241102081347054576
CCTV5+体育赛事,https://api.livednow.org/migu/641886773?sign=gAAAAABnJcJqTze6PuXdG9BEej5eW4BLImQigfoMaUf8uqVsrTWU2XPcpNAQkBcD0muMqEF9LzvxjIx7EBojiQbkHBD5j0Jhgf5-rBwl8jU3IJw5gsTQ2K6WngtWzyYcEmpoNgChlKkREdafyGUHTP8U4-G_ggVp1wP9_OuDXbCnXAQZKWP8e_nvjKVAHWsAfsrkcP2wHVy9aBq_REPOhp0w5W60Na3IcQ%3D%3D
CCTV6电影,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0
CCTV6电影,http://39.134.64.179:6610/PLTV/88888888/224/3221226010/index.m3u8?
CCTV6电影,https://api.livednow.org/migu/624878396?sign=gAAAAABnJcJqCeZPI9pdAJI3zwOoz9SDiYBoZQL2_YxTBPm_gj4SRFhG652Dpip8x7O4oFhlJnHFS7Q4Kf_7eU_C9FrHiwmE9NDcuC5hEnGmyVWm8ntsvjsPsht86e15yA-OlkJj8m8OOe0qL_OVbjhSq3iySwkXSGvcKXQvvn6bYSRHZOe8Fc0EhG8AsW_DtSzMfG2-4VfItHk5oSqULRJ7DuT8Hr-neQ%3D%3D
CCTV7国防军事,http://39.134.64.179:6610/PLTV/88888888/224/3221225733/index.m3u8?
CCTV7国防军事,https://api.livednow.org/migu/673168121?sign=gAAAAABnJcJqjxuw5GDu1iojWpw4c-mjlefodslPuTvBI0grkKhdH8h_8I3xIavNltrXtbWMtHw2egHRBx-ciorem6WfS3xSWscFzvRmGcIdMlNJzhJ72fhC6f4jukCtJf6F79fYHQr5HfVJPSsBq9qCvVa1xZUsL40rtzOqtvaErO6BDEcA1JD4CyrNUboyvMBD11iNwc58nYXZiV-cubZaPaet8B6Xyg%3D%3D
CCTV8电视剧,https://api.livednow.org/migu/624878356?sign=gAAAAABnJcJqw9dP6jwWUpKtifWTU97cE4kDpJmHWTbZD1ezcD3BLnqA4kJ_aSSQhe-ijrx2Z5Bm-wNBbguJ08avBolBe_yGvaJ1XKsKys_EAvx1QOauipvQfuKV15NrpBtQEMBADkCRzEwhHzbrcugddFVzwBFgmu7RrqSIIe848HA7b03yYseeTrXmOBJr1i1i99vgEUQOlaa1ismbhcTCecoRnyCfpQ%3D%3D
CCTV8电视剧,http://39.134.134.51/000000000001/PLTV/88888888/224/3221279786/index.m3u8?HlsProfileId=
CCTV8电视剧,http://39.134.64.179:6610/PLTV/88888888/224/3221226008/index.m3u8?
CCTV9纪录,http://39.134.64.179:6610/PLTV/88888888/224/3221225734/index.m3u8?
CCTV9纪录,https://api.livednow.org/migu/673168140?sign=gAAAAABnJcJqdqv3pFhYgBnmgGSIbZzHbX-DBJ-zNXsXFK68-5Wan9QqWYyKUxKv-XaTGYQIel_BUzZGYjzs5NPKiqPSXuul1GUOzl4VFlTGdyR6nNrAKB_lLRVjYzhVt6KX7j3DAzD44tiZocsNItrAhkJX7yIj6OGUq8s_mfXT_nlO_Xmgp4LUF7YnUnrICTc0LNBR-pQ1H2eiQcO2V6TCwrqhcHkABg%3D%3D
CCTV10科教,http://39.134.64.179:6610/PLTV/88888888/224/3221226473/index.m3u8?
CCTV10科教,https://api.livednow.org/migu/624878405?sign=gAAAAABnJcJqUD0VJHgW_jpi9fSEDhVqtVpgjlm5l2RFB5crphtq4Lgd1pE-Tc_n_qCmd9kwraXg4RZcc0KxzMy3Ef70prdHPMgkFbuJGwsobC29UUm_Kh7XbBVy-fqPer-IzPfc4oRJ10aPTq5_azxz8u2Qp6Ay2EYOLMg1O-EnQ79eNgaXc-2s1ccgdc5zllFwTrdP0XNkac4cX20eCWKPBULxodi6KQ%3D%3D
CCTV11戏曲,http://39.134.64.179:6610/PLTV/88888888/224/3221226565/index.m3u8?
CCTV11戏曲,https://api.livednow.org/migu/667987558?sign=gAAAAABnJcJq0uxG3wXdtrtqiIBCWRnKBVOa5nG_MrcR-XE_FxKhhSx7qj7d71b67HWtpFnV2yWlbi0DB4eVSBIi6y6ATRTRy-BAzHYzmANZxHCzKfrpNUunkDnLY0q7rIKTNSg3JuHII5wLmoBSDoeTzc8Tt6xXcUd5Hv-oHFU6L8gBAJjtBl6u0vGjL4NCXzTdg5rTNQf-Lx3S3ew-DiWy1XnrFEc26g%3D%3D
CCTV12社会与法,http://39.134.64.179:6610/PLTV/88888888/224/3221226568/index.m3u8?
CCTV12社会与法,https://api.livednow.org/migu/673168185?sign=gAAAAABnJcJqfs_3emdJIy9mYYyN6M29-FRfMp5HBvyku5jviEWtan66IU2XguJLoP7tu5be63y71Amc1LQKABsz3w4K4MYcVJZQ2FpXjnYoI80vaFeq2t-GfRY3n-XhzImihJvGiPd8fDG9pEIVWSneLNgmMkomXAfDlza_TggSrlVcSDkpi6DsXXNOBLsIpsHdWRSbJtzbhkX3j0w7KzFZhMevYAkEqg%3D%3D
CCTV13新闻,http://39.134.64.179:6610/PLTV/88888888/224/3221226571/index.m3u8?
CCTV13新闻,https://api.livednow.org/migu/608807423?sign=gAAAAABnJcJqWcv58U6OGzQabwzd_fRQdYIiL56pNYvWDLYx8OqIYIZTaT5ceZHRyt06wODism6P1aOwUkuZhiEfldQ55DPEyxVt51QPQHSDakx6DZ2ucwlxwe6nUNX83Y9VomRK3nxUdOy7T5XXGKyCDKucirezIa1eLScwKqq2ONtkQFwIsf7M2R3c5RDB5YQ6uMRY3eA0hSaiRTacGYQSjA_U1rUG5g%3D%3D
CCTV14少儿,http://39.134.64.179:6610/PLTV/88888888/224/3221226591/index.m3u8?
CCTV14少儿,https://api.livednow.org/migu/624878440?sign=gAAAAABnJcJqbiZjvH8WPpn2MSC9d1plZ1uK5RoepfZ6jSSLDNY5MEkVmC6AeWa4kDMXAhPgpPm331nzJkqByvIwyJ1nvMCSyjAqVA9m3RE7fIRDF80f2H3UCJLesDEifymvAsoH5oyavOgYS4KyiZ0tkA_xHI22m-bhjRbDPbkfrr9U1pLOLTTNKxCBVpne91De96PBMhcK7JpHMEqngGthOBNZS4YfMg%3D%3D
CCTV15音乐,http://39.134.64.179:6610/PLTV/88888888/224/3221226476/index.m3u8?
CCTV15音乐,https://api.livednow.org/migu/673168223?sign=gAAAAABnJcJqidnXewNhy-gri2ybb9iscI03y5nc62Syy1VqIhpbG4NsKVFHcgll52_xUKgwrWb5UR4xUTuxZnXcZ0qybFuneRF7vganvFXXcsbCxEG1p3RlEZw2hsCJ2G64570EsLkHymrjb0T7NBsJQyYJplJRLJFEd2gRpP40XLLJYTwJTmIC9b2eeLAZy4YEIn8-g7uBCctAPZtXqq8lS4vOcoHLSQ%3D%3D
CCTV16奥林匹克,http://39.134.64.179:6610/PLTV/88888888/224/3221226100/index.m3u8?
CCTV17农业农村,http://39.134.64.179:6610/PLTV/88888888/224/3221225765/index.m3u8?
CCTV17农业农村,https://api.livednow.org/migu/673168256?sign=gAAAAABnJcJqaH7zxsZ2sHzgLIrp3fHULs5VLTwRm5kvc_YZnCZDZdFCwKXL_yaXA5nFcCZPD0omVJwDapyQUilo6R4kQgEmlWfnDyA0UbxOdEjCzJ9SHIiV_53r4aaArZ0IL_Aq0Mhm7cM6wcQ1EeLovgqiDPnCeUF2j3_KgX74Wh-ZpYuDKkQNsfBaJ1_P09_8SukvS2dsHXG-Tkr2RbVUU9z4qmS7iw%3D%3D
CCTV17农业农村,http://39.135.133.168:80/wh7f454c46tw1611857622_-1141684926/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8?
CCTV1综合,http://42.48.50.232:9002/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,https://livealiop-finance.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8?wsSecret=4c9e3f07f6b20f54c45aa933d253719b&wsTime=1732113336
CCTV3综艺,http://220.176.218.7:8888/udp/239.252.220.66:5140
CCTV3综艺,http://101.65.32.9:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4中文国际,http://175.178.112.165:33633/VT689/%E5%B9%BFH.php?id=cctv4
CCTV5体育,http://175.178.112.165:33633/VT689/%E5%B9%BFH.php?id=cctv5
CCTV6电影,http://175.178.112.165:33633/VT689/%E5%B9%BFH.php?id=cctv6
CCTV7国防军事,https://live.junhao.mil.cn/rmt9502/3e6e7c5477314ec38f5e58e2a5c70024.m3u8?txSecret=57978fafb9c19880afa5c8687e8241d8&txTime=7A42BAFF
CCTV3综艺,http://39.135.133.167:80/wh7f454c46tw3363082148_-1415474998/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8?
CCTV3综艺,http://39.134.64.179:6610/PLTV/88888888/224/3221226021/index.m3u8?
CCTV3综艺,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV1综合,http://171.34.76.62:808/hls/9/index.m3u8
CCTV2财经,http://171.34.76.62:808/hls/10/index.m3u8
CCTV3综艺,http://171.34.76.62:808/hls/11/index.m3u8
CCTV4中文国际,http://171.34.76.62:808/hls/12/index.m3u8
CCTV5体育,http://171.34.76.62:808/hls/13/index.m3u8
CCTV6电影,http://171.34.76.62:808/hls/14/index.m3u8
CCTV7国防军事,http://171.34.76.62:808/hls/15/index.m3u8
CCTV8电视剧,http://171.34.76.62:808/hls/16/index.m3u8
CCTV9纪录,http://171.34.76.62:808/hls/17/index.m3u8
CCTV10科教,http://171.34.76.62:808/hls/18/index.
CCTV11戏曲,http://171.34.76.62:808/hls/19/index.m3u8
CCTV12社会与法,http://171.34.76.62:808/hls/20/index.m3u8
CCTV13新闻,http://171.34.76.62:808/hls/21/index.m3u8
CCTV14少儿,http://171.34.76.62:808/hls/22/index.m3u8
CCTV15音乐,http://171.34.76.62:808/hls/23/index.m3u8
CCTV16奥林匹克,http://60.6.111.76:808/hls/16/index.m3u8
CCTV17农业农村,http://60.6.111.76:808/hls/17/index.m3u8
CCTV17农业农村,http://60.6.111.164:808/hls/17/index.m3u8
CCTV16奥林匹克,http://39.134.64.179:6610/PLTV/88888888/224/3221226100/index.m3u8?
CCTV16奥林匹克,http://119.114.37.138:85/tsfile/live/1027_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV16奥林匹克,http://39.135.133.170:80/wh7f454c46tw1018384760_1727074610/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8?
CCTV17农业农村,http://39.134.64.179:6610/PLTV/88888888/224/3221225765/index.m3u8?
CCTV1综合,http://39.134.65.173/PLTV/88888888/224/3221225816/1.m3u8
CCTV2财经,http://39.134.65.173/PLTV/88888888/224/3221225599/1.m3u8
CCTV3综艺,http://39.134.65.173/PLTV/88888888/224/3221225799/1.m3u8
CCTV4中文国际,http://39.134.65.173/PLTV/88888888/224/3221225797/1.m3u8
CCTV5体育,http://39.134.65.173/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+体育赛事,http://39.134.65.173/PLTV/88888888/224/3221225507/1.m3u8
CCTV6电影,http://39.134.65.173/PLTV/88888888/224/3221225814/1.m3u8
CCTV7国防军事,http://39.134.65.173/PLTV/88888888/224/3221225671/1.m3u8
CCTV8电视剧,http://39.134.65.173/PLTV/88888888/224/3221225795/1.m3u8
CCTV9纪录,http://39.134.65.173/PLTV/88888888/224/3221225676/1.m3u8
CCTV10科教,http://39.134.65.173/PLTV/88888888/224/3221225677/1.m3u8
CCTV11戏曲,http://39.134.65.173/PLTV/88888888/224/3221225517/1.m3u8
CCTV12社会与法,http://39.134.65.173/PLTV/88888888/224/3221225669/1.m3u8
CCTV13新闻,http://39.134.65.173/PLTV/88888888/224/3221226125/1.m3u8
CCTV13新闻,http://39.134.65.173/PLTV/88888888/224/3221225812/1.m3u8
CCTV14少儿,http://39.134.65.173/PLTV/88888888/224/3221225674/1.m3u8
CCTV14少儿,http://39.134.65.173/PLTV/88888888/224/3221226132/1.m3u8
CCTV15音乐,http://39.134.65.173/PLTV/88888888/224/3221226127/1.m3u8
CCTV15音乐,http://39.134.65.173/PLTV/88888888/224/3221225513/1.m3u8
CCTV16奥林匹克,http://39.134.65.173/PLTV/88888888/224/3221225893/1.m3u8
CCTV3综艺,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV3综艺,http://39.134.65.247/PLTV/88888888/224/3221225799/1.m3u8
CCTV5体育,http://123.181.145.119:7000/udp/239.254.200.14:6000
CCTV5体育,http://39.84.196.106:4000/udp/239.253.238.6:8000
CCTV5体育,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5体育,http://39.134.67.110/PLTV/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.64.179:6610/PLTV/88888888/224/3221226019/index.m3u8?
CCTV5体育,http://39.134.64.179:6610/PLTV/88888888/224/3221226469/index.m3u8?
CCTV5体育,http://39.134.65.243/PLTV/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.65.194/PLTV/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.65.211/PLTV/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.65.247/PLTV/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.65.198/PLTV/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.65.245/PLTV/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.65.213/PLTV/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.65.194/TVOD/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.67.108/TVOD/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.65.247/TVOD/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.67.110/TVOD/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.65.198/TVOD/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.65.207/TVOD/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.65.251/TVOD/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.65.209/TVOD/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.65.211/TVOD/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.65.213/TVOD/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.65.215/TVOD/88888888/224/3221225818/1.m3u8
CCTV5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV5+体育赛事,http://39.134.67.110/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+体育赛事,http://39.134.65.213/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+体育赛事,http://39.134.65.247/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+体育赛事,http://39.134.65.251/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+体育赛事,http://39.134.65.209/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+体育赛事,http://39.134.65.249/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+体育赛事,http://39.134.65.211/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+体育赛事,http://39.134.65.245/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+体育赛事,http://39.134.65.239/PLTV/88888888/224/3221225507/1.m3u8
